voucher_number,taxon,collection_number,collection_date,location,latitude,longitude,altitude_metres
927370,Themeda arguens,2701,42113,"Gunn Peninsula, NT",-12.176943,131.023538,35
927293,Themeda avenacea,2490,41928,"Ross rwy, NT",-23.5437,134.5134,608
927298,Themeda avenacea,2496,41928,"Turn off the main road West Mcdonnel, NT",-23.8011,133.3678,630
927304,Themeda avenacea,2504,41929,"Amata to Airn Rock, NT",-25.7819,130.9596,626
927306,themeda avenacea,2506,41929,"Uluru, NT",-25.594046,151.298586,
927307,Themeda avenacea,2507,41930,"Chirnside creek, Puta Puta, NT",-25.0704,129.6417,624
825006,Themeda triandra,1517,41181,"Cobar, NSW",-31.71351,145.92499,
927107,Themeda triandra,2184,41744,"Britcher Ck, 245 KM NE of Boulia on kennedy dev rd, Qld",-22.250543,141.996018,194
927271,Themeda triandra,2393,41764,"Augathella, Qld",-25.688,146.5883,417
927274,Themeda triandra,2450,41919,"OPEN FOREST MT BOULBER GYMPIE, Qld",-26.2616,152.80588,206
927275,Themeda triandra,2451,41919,"Nosa rv np, Qld",-26.3472,153.0154,21
927276,Themeda triandra,2452,41923,"Burrum Coast NP, Qld",-25.167023,152.557618,10
927277,Themeda triandra,2454,41923,"Gympie, Qld",-26.2174,152.6909,60
927278,Themeda triandra,2455,41924,"Miles, Qld",-26.6551,150.168,300
927280,Themeda triandra,2461,41924,Bundulla Qld - in the road (right side east-west),-26.4355,147.3976,450
927281,Themeda triandra,2465,41924,91 KM E OF QUILPIE,-26.6372,145.1791,283
927282,Themeda triandra,2466,41924,20 KM E OF QUILPIE,-26.6169,144.6439,216
927110,Themeda triandra,2468,41925,"249km e of Innaminka, SA",-27.5517,142.6334,147
927283,Themeda triandra,2472,41925,"Cordillo Downs Stn, SA",-26.9736,140.9702,66
927284,Themeda triandra,2473,41926,"Cordillo Downs Stn, SA",-26.711,140.6301,73
927285,Themeda triandra,2479,41926,"Italowie ck, SA",-30.5639,139.2419,202
927286,Themeda triandra,2481,41927,"Pootnoura coober pedy, SA",-28.45109,134.2,264
927287,Themeda triandra,2482,41927,"Alberga Rv, SA",-26.341,133.2018,454
927288,Themeda triandra,2484,41927,"Henbury Conservation Res., NT",-24.5863,133.2266,429
927289,Themeda triandra,2486,41928,"Ross River, NT",-23.507,134.6049,706
927290,Themeda triandra,2487,41928,Claraville/Ross rwy near river,-23.3793,134.7471,616
927292,Themeda triandra,2489,41928,"Ross River, NT",-23.5437,134.5134,608
927294,Themeda triandra,2492,41928,"Ross River, NT",-23.6226,134.3063,567
927295,Themeda triandra,2493,41928,"West Mcdonnel on the road, NT",-23.7891,133.5116,626
927296,Themeda triandra,2494,41928,"West Mcdonnel on the road, NT",-23.8095,133.2028,746
927297,Themeda triandra,2495,41928,"Turn off the main road West Mcdonnel, NT",-23.8011,133.3678,630
927299,Themeda triandra,2497,41928,"Owen Springs Reserve, Alice Springs, NT",-23.9853,133.4362,565
927300,Themeda triandra,2499,41928,"Rainbow Valley, NT",-24.331,133.6326,462
927301,Themeda triandra,2500,41929,"Gunbarrel Hwy, katjikunya Creek, SA",-26.1161,131.2505,684
927302,Themeda triandra,2501,41929,"Going to Tupul community, SA",-26.0989,131.1463,655
927111,Themeda triandra,2502,41929,"From Amata to Airn Rock, SA",-25.8803,131.1124,662
927303,Themeda triandra,2503,41929,"From Amata to Airn Rock (Kulpijata), NT",-25.8128,131.0275,645
927305,Themeda triandra,2505,41929,"Uluru, NT",-25.594046,151.298586,
927308,Themeda triandra,2508,41930,"Chirnside creek, Puta Puta, NT",-25.0704,129.6417,624
927309,Themeda triandra,2513,41930,After the border WA. ,-24.8587,128.8545,565
927310,Themeda triandra,2514,41930,"Great Central Road, WA",-25.1028,128.4039,601
927311,Themeda triandra,2515,41930,"Great Central Road-Arriving in Warburton, WA",-26.0456,126.6377,504
927312,Themeda triandra,2516,41930,"Warburton, WA",-26.1322,126.5702,436
927313,Themeda triandra,2517,41931,"Leonora, exit of the town, left side going to Pilbara, WA",-28.8609,121.3152,384
927314,Themeda triandra,2518,41931,"c. 58km north of Leonora, WA",-28.3712,121.1628,492
927112,Themeda triandra,2523,41931,"Wiluna, WA",-26.5959,120.2213,508
927318,Themeda triandra,2525,41931,"Great Northern Hwy, WA",-25.6071,119.2195,545
927319,Themeda triandra,2527,41931,"Great Northern Hwy, WA",-25.1044,119.3714,535
927320,Themeda triandra,2528,41931,"Great Northern Hwy, WA, c 50km before Newman, WA",-23.7316,119.7271,620
927321,Themeda triandra,2529,41932,"Newman, on Great Northern Hwy to Currata, WA",-23.3037,119.6788,542
927322,Themeda sp.,2530,41932,"Great Northern Hwy, c. 43 km after Newman heading to Karatha, WA",-23.1614,119.3983,695
927323,Themeda triandra,2531,41932,"Track left side of the Great Northern Hwy about 57km from Newman, WA",-23.1379,119.2902,684
927324,Themeda triandra,2532,41932,Track left side of the Great Northern Hwy about 57km from Newman. About 9km from road.,-23.1889,119.2337,691
927325,Themeda triandra,2533,41932,Track left side of the Great Northern Hwy about 57km from Newman. About 13km from road.,-23.2021,119.1965,705
927326,Themeda sp.,2534,41932,Track left side of the Great Northern Hwy about 57km from Newman. About 13km from road.,-23.2021,119.1965,705
